TIMESTAMP,wnd_spd,wnd_spd_max,wnd_spd_min,u_star,wnd_dir_sonic
27-07-15 10,3.212092,3.337789,3.086395,0.51844985,-66.481525
27-07-15 11,2.4334085,2.483226,2.383591,0.5175505,-70.396865
27-07-15 12,1.6074075,1.79115,1.423665,0.31644235,-72.748385
27-07-15 13,1.623644,1.759979,1.487309,0.26514395,-58.131395
27-07-15 14,2.111276,2.355085,1.867467,0.3785439,-57.258545
27-07-15 15,1.1133425,1.291837,0.934848,0.1726966,-42.264005
27-07-15 16,1.5581235,1.618383,1.497864,0.2879611,-95.69101
27-07-15 17,1.4585305,1.539851,1.37721,0.2125861,-113.1062
27-07-15 18,1.502406,1.621823,1.382989,0.11498115,-140.29625
27-07-15 19,1.599859,1.658945,1.540773,0.1443165,-133.7327
27-07-15 20,1.747919,1.761304,1.734534,0.16437905,-123.20295
27-07-15 21,1.29682535,1.739915,0.8537357,0.14186035,-104.060755
27-07-15 22,1.2626575,1.304367,1.220948,0.09789466,-114.33385
27-07-15 23,1.1306815,1.173138,1.088225,0.078636615,-123.9504
27-08-15 00,1.172448,1.264866,1.08003,0.13474105,-99.257615
27-08-15 01,0.8469273,1.009504,0.6843506,0.114652495,-69.63095
27-08-15 02,0.38820605,0.4192937,0.3571184,0.05185684,-101.26393
27-08-15 03,0.36038515,0.4104327,0.3103376,0.02993259,-8.21998
27-08-15 04,0.4011595,0.4332837,0.3690353,0.047565295,131.9679
27-08-15 05,0.92181915,1.04721,0.7964283,0.05231127,123.5073
27-08-15 06,0.5045758,0.6532182,0.3559334,0.044302205,167.7412
27-08-15 07,1.05884455,1.151202,0.9664871,0.034538235,121.69775
27-08-15 08,0.95957835,1.089265,0.8298917,0.1334407,91.084345
27-08-15 09,1.0861539,1.632097,0.5402108,0.099155865,-13.156119
27-08-15 10,2.435023,2.552622,2.317424,0.4362526,-19.08652
27-08-15 11,1.954708,2.170337,1.739079,0.28811675,2.082045
27-08-15 12,2.0294185,2.405156,1.653681,0.3241503,76.12527
27-08-15 13,2.058087,2.116204,1.99997,0.394351,107.9584
27-08-15 14,1.5225075,1.958161,1.086854,0.1670323,51.623365
27-08-15 15,1.4572155,1.615285,1.299146,0.28484345,168.42785
27-08-15 16,2.034763,2.221144,1.848382,0.3351025,-164.75735
27-08-15 17,1.869916,2.030918,1.708914,0.3106699,-3.9171
27-08-15 18,2.608995,2.895708,2.322282,0.42308045,165.35235
27-08-15 19,2.572433,2.616114,2.528752,0.4479046,170.0224
27-08-15 20,2.6290795,2.688842,2.569317,0.4356602,177.30135
27-08-15 21,2.478087,2.531203,2.424971,0.3665002,-172.5539
27-08-15 22,2.547127,2.677644,2.41661,0.4184491,-176.90165
